"{DirectedEdge[المدينه, المدينه], 3798.4053752926375}","{DirectedEdge[المدينه, كوفة], 2274.6739312343766}","{DirectedEdge[المدينه, دمشق], 264.9729901955312}","{DirectedEdge[المدينه, مكة], 208.88280399334212}","{DirectedEdge[المدينه, حمص], 201.76833072653108}","{DirectedEdge[المدينه, بصرة], 38.09302445178329}","{DirectedEdge[كوفة, كوفة], 37.71109137005293}","{DirectedEdge[المدينه, مصر], 27.5281183674749}","{DirectedEdge[المدينه, الحجاز], 27.269875402263494}","{DirectedEdge[المدينه, الربذة], 22.57252386493775}"
"{DirectedEdge[المدينه, المدينه], 16053.145011283867}","{DirectedEdge[المدينه, كوفة], 2157.676408834795}","{DirectedEdge[المدينه, مكة], 1746.8282596447398}","{DirectedEdge[المدينه, بصرة], 1164.5014631935458}","{DirectedEdge[كوفة, كوفة], 1011.6859920990632}","{DirectedEdge[المدينه, دمشق], 423.6624081971682}","{DirectedEdge[المدينه, حمص], 394.39650340708704}","{DirectedEdge[المدينه, مصر], 373.6312953886131}","{DirectedEdge[المدينه, مرو], 178.80631672719915}","{DirectedEdge[مكة, مكة], 68.00313440859594}"
"{DirectedEdge[المدينه, المدينه], 14248.531959245003}","{DirectedEdge[كوفة, كوفة], 3950.928877327786}","{DirectedEdge[المدينه, مكة], 2565.070211619778}","{DirectedEdge[المدينه, كوفة], 1885.020764064933}","{DirectedEdge[المدينه, بصرة], 1061.5042568176739}","{DirectedEdge[بصرة, بصرة], 1024.9349465487503}","{DirectedEdge[مكة, مكة], 1010.1112974169184}","{DirectedEdge[المدينه, حمص], 733.7678303313681}","{DirectedEdge[مكة, كوفة], 538.692097415132}","{DirectedEdge[المدينه, دمشق], 286.7737978416024}"
"{DirectedEdge[المدينه, المدينه], 16002.656923497967}","{DirectedEdge[بصرة, بصرة], 7733.8568254128895}","{DirectedEdge[كوفة, كوفة], 7145.635899820649}","{DirectedEdge[المدينه, مكة], 2724.4507804308823}","{DirectedEdge[مكة, مكة], 2666.1407894129024}","{DirectedEdge[المدينه, بصرة], 2449.1026080066836}","{DirectedEdge[المدينه, دمشق], 1771.9582089280418}","{DirectedEdge[المدينه, كوفة], 1209.1825996512764}","{DirectedEdge[مكة, كوفة], 777.7098557245877}","{DirectedEdge[كوفة, بصرة], 754.0067161849038}"
"{DirectedEdge[كوفة, كوفة], 20461.895833959177}","{DirectedEdge[المدينه, المدينه], 16475.597441142298}","{DirectedEdge[بصرة, بصرة], 16309.458740419757}","{DirectedEdge[كوفة, بصرة], 3860.6297567606202}","{DirectedEdge[المدينه, كوفة], 3765.2964045326466}","{DirectedEdge[مكة, كوفة], 3145.1100710565934}","{DirectedEdge[مكة, مكة], 2971.328381311981}","{DirectedEdge[المدينه, بصرة], 2874.866899657966}","{DirectedEdge[مكة, صنعاء], 1918.5879467237482}","{DirectedEdge[مصر, مصر], 1847.4612450140505}"
"{DirectedEdge[بصرة, بصرة], 28105.518020941538}","{DirectedEdge[كوفة, كوفة], 20811.306974891555}","{DirectedEdge[المدينه, المدينه], 14733.344781577924}","{DirectedEdge[كوفة, بصرة], 10413.023217985792}","{DirectedEdge[مصر, مصر], 6306.625013711636}","{DirectedEdge[المدينه, كوفة], 3500.8942505072923}","{DirectedEdge[المدينه, بصرة], 2945.825240539331}","{DirectedEdge[المدينه, بغداد], 2838.75374397949}","{DirectedEdge[واسط, بصرة], 2832.6908345890984}","{DirectedEdge[بصرة, كوفة], 2374.7901456493096}"
"{DirectedEdge[كوفة, كوفة], 30458.218106494664}","{DirectedEdge[بصرة, بصرة], 30108.643791703686}","{DirectedEdge[بصرة, بغداد], 7452.552476867795}","{DirectedEdge[مصر, مصر], 7120.248267679878}","{DirectedEdge[صنعاء, صنعاء], 5862.357567417935}","{DirectedEdge[كوفة, بصرة], 5563.608207337487}","{DirectedEdge[كوفة, بغداد], 4947.512113815839}","{DirectedEdge[المدينه, مصر], 4676.401220166887}","{DirectedEdge[المدينه, بصرة], 4365.784114542633}","{DirectedEdge[المدينه, المدينه], 4035.5729981062645}"
"{DirectedEdge[بصرة, بصرة], 35677.34045605311}","{DirectedEdge[كوفة, كوفة], 25904.257445553132}","{DirectedEdge[بغداد, بغداد], 9959.544632364441}","{DirectedEdge[بصرة, بغداد], 9312.94435015199}","{DirectedEdge[مصر, مصر], 6688.375657899845}","{DirectedEdge[كوفة, بغداد], 5841.562986143086}","{DirectedEdge[كوفة, دمشق], 5584.078844902603}","{DirectedEdge[دمشق, دمشق], 3481.6600126595267}","{DirectedEdge[المدينه, المدينه], 3401.461307063356}","{DirectedEdge[كوفة, بصرة], 3167.1013122298486}"
"{DirectedEdge[بصرة, بصرة], 15641.691973916197}","{DirectedEdge[مصر, مصر], 10576.992979503857}","{DirectedEdge[كوفة, كوفة], 9345.120517126457}","{DirectedEdge[بغداد, بغداد], 5970.370257985079}","{DirectedEdge[بصرة, بغداد], 4436.246816028469}","{DirectedEdge[كوفة, بغداد], 3425.923189879728}","{DirectedEdge[بصرة, مصر], 3147.4708513373503}","{DirectedEdge[بصرة, نيسابور], 2403.0043285564725}","{DirectedEdge[دمشق, دمشق], 2082.8993458639306}","{DirectedEdge[مكة, مكة], 1466.482398853035}"
"{DirectedEdge[بغداد, بغداد], 8837.759482171517}","{DirectedEdge[بصرة, بصرة], 7288.80155443356}","{DirectedEdge[بصرة, بغداد], 6910.187550247461}","{DirectedEdge[كوفة, بغداد], 2968.861173087348}","{DirectedEdge[دمشق, دمشق], 2429.0810508849463}","{DirectedEdge[مصر, مصر], 2408.7881531083776}","{DirectedEdge[مرو, بغداد], 1666.5756139013067}","{DirectedEdge[مكة, بغداد], 1395.9743396622857}","{DirectedEdge[بصرة, مكة], 1333.5544085405816}","{DirectedEdge[نيسابور, نيسابور], 1296.2937100413722}"
"{DirectedEdge[بغداد, بغداد], 9271.242730587026}","{DirectedEdge[بصرة, بغداد], 2206.0854629822647}","{DirectedEdge[كوفة, بغداد], 1993.0502955739069}","{DirectedEdge[نيسابور, نيسابور], 1825.8620277733212}","{DirectedEdge[بصرة, بصرة], 1582.352922869209}","{DirectedEdge[مصر, مصر], 1089.84197004609}","{DirectedEdge[بصرة, نيسابور], 1086.816897577438}","{DirectedEdge[بغداد, الموصل], 1056.8891842284402}","{DirectedEdge[دمشق, دمشق], 1025.5379002059312}","{DirectedEdge[بغداد, بصرة], 922.4391655003366}"
"{DirectedEdge[بغداد, بغداد], 10419.940281664129}","{DirectedEdge[نيسابور, نيسابور], 2537.0273500227945}","{DirectedEdge[دمشق, دمشق], 1488.4404652947321}","{DirectedEdge[بغداد, أصبهان], 1458.095692523007}","{DirectedEdge[دمشق, أصبهان], 1327.5055825707418}","{DirectedEdge[مصر, أصبهان], 1179.5695355365626}","{DirectedEdge[بغداد, نيسابور], 1097.417807022356}","{DirectedEdge[مصر, بغداد], 1061.7860589259233}","{DirectedEdge[أصبهان, أصبهان], 1020.2916490829339}","{DirectedEdge[مصر, نيسابور], 941.8153385009841}"
"{DirectedEdge[بغداد, بغداد], 8253.406263020865}","{DirectedEdge[نيسابور, نيسابور], 1026.7908896165195}","{DirectedEdge[فربر, هراة], 863.8965517241379}","{DirectedEdge[الموصل, نيسابور], 763.4211629176259}","{DirectedEdge[أصبهان, أصبهان], 756.0748216143026}","{DirectedEdge[قرطبة, قرطبة], 602.690357369452}","{DirectedEdge[بغداد, أصبهان], 587.3335233675037}","{DirectedEdge[بصرة, أصبهان], 538.7362581773782}","{DirectedEdge[بغداد, نيسابور], 509.2062122608703}","{DirectedEdge[دمشق, أصبهان], 476.6584056960026}"
"{DirectedEdge[بغداد, بغداد], 3991.168459489054}","{DirectedEdge[دمشق, دمشق], 1952.3418832033178}","{DirectedEdge[بغداد, نيسابور], 831.9394666216692}","{DirectedEdge[قرطبة, قرطبة], 760.9211891300916}","{DirectedEdge[نيسابور, نيسابور], 738.8280191356761}","{DirectedEdge[مصر, مصر], 691.8262529518454}","{DirectedEdge[أصبهان, نيسابور], 439.0607667811072}","{DirectedEdge[أصبهان, بغداد], 378.3272292024455}","{DirectedEdge[الري, بغداد], 276.9971191472193}","{DirectedEdge[أصبهان, أصبهان], 250.37973460923283}"
"{DirectedEdge[بغداد, بغداد], 1891.6014106502141}","{DirectedEdge[دمشق, دمشق], 789.4785582855206}","{DirectedEdge[نيسابور, نيسابور], 642.0433470671476}","{DirectedEdge[أصبهان, أصبهان], 499.020218238474}","{DirectedEdge[بغداد, نيسابور], 377.08380539402873}","{DirectedEdge[شيراز, بغداد], 366.09897752504895}","{DirectedEdge[جرجان, جرجان], 260.92419731913964}","{DirectedEdge[بغداد, دار*القطن], 216.8868446021766}","{DirectedEdge[أصبهان, نيسابور], 208.54462769717722}","{DirectedEdge[بغداد, دمشق], 151.13770489316352}"
"{DirectedEdge[بغداد, بغداد], 2590.4377030490177}","{DirectedEdge[دمشق, دمشق], 1558.0601024112907}","{DirectedEdge[نيسابور, نيسابور], 674.0441270826835}","{DirectedEdge[دمشق, بغداد], 303.0405327300965}","{DirectedEdge[قرطبة, قرطبة], 287.02275991479803}","{DirectedEdge[دمشق, كران], 279.71150128047327}","{DirectedEdge[بغداد, نيسابور], 251.64942123606173}","{DirectedEdge[هراة, هراة], 220.79473927029375}","{DirectedEdge[بغداد, دمشق], 199.85661964887305}","{DirectedEdge[دمشق, صيدا], 172.23842435363818}"
"{DirectedEdge[بغداد, بغداد], 1311.2178353379052}","{DirectedEdge[دمشق, دمشق], 680.5988650216822}","{DirectedEdge[مصر, مصر], 239.41590982223374}","{DirectedEdge[قزوين, قزوين], 79.23611111111104}","{DirectedEdge[مصر, دمشق], 68.75505011560426}","{DirectedEdge[دينور, أصبهان], 58.61298850574729}","{DirectedEdge[أصبهان, أصبهان], 56.186217815821024}","{DirectedEdge[نيسابور, نيسابور], 54.97168266785696}","{DirectedEdge[بغداد, دمشق], 37.29703005826912}","{DirectedEdge[هراة, هراة], 34.2575646474273}"
"{DirectedEdge[بغداد, بغداد], 284.01496981887055}","{DirectedEdge[دمشق, دمشق], 121.00745932980453}","{DirectedEdge[أصبهان, أصبهان], 87.08292791231314}","{DirectedEdge[نيسابور, نيسابور], 80.26393656228304}","{DirectedEdge[نيسابور, أصبهان], 49.82951365116091}","{DirectedEdge[مصر, مصر], 31.1705524508039}","{DirectedEdge[مصر, أصبهان], 27.000000000000004}","{DirectedEdge[بغداد, دمشق], 24.354467361652436}","{DirectedEdge[دمشق, بغداد], 23.545626087134846}","{DirectedEdge[بغداد, مصر], 19.57078634517571}"
