2,"{بغداد, كوفة, بصرة, الحجاز, مصر, عسقلان, مرو}"
415,"{نيسابور}"
417,"{نيسابور, ترمذ}"
496,"{مصر, نيسابور, بصرة, كوفة, بغداد, واسط, دمشق, حمص}"
801,"{بصرة}"
904,"{مكة, بصرة, الرملة, مصر, دمشق}"
1321,"{مصر, عسقلان}"
2549,"{نسا, مصر, حمص, دمشق, حلب}"
2915,"{بغداد, سمرقند, مرو}"
3895,"{مرو, الري}"
4165,"{دمشق}"
4864,"{مصر}"
4900,"{بغداد, سمرقند, دارام}"
5307,"{عسقلان}"
5766,"{القنطرة, بغداد}"
5911,"{الأهواز}"
6774,"{بغداد}"
6806,"{الري}"
6817,"{بخارى, مكة, المدينه, مصر, الحجاز, الري, نيسابور, بصرة, كوفة, بلخ, مرو, واسط, دمشق, قيسارية, عسقلان, حمص, بغداد}"
6860,"{مصر, عسقلان}"
6952,"{عسقلان}"
7011,"{بغداد, بخارى}"
7228,"{حمص, بغداد}"
7267,"{اليمامة}"
7273,"{الري}"
7327,"{حران}"
7741,"{الرملة, نسا}"
7817,"{نصيبين}"
8053,"{بصرة}"
8231,"{المدينه}"
8297,"{مصر, دمشق, حمص}"
8476,"{مصر, دمشق}"
8524,"{فلسطين, عسقلان, مصر, نيسابور, فسا}"
10629,"{بغداد, القنطرة}"
11139,"{بغداد, صغد}"
11232,"{دمشق}"
11265,"{بغداد, الكرج}"
11508,"{دمشق, البرلس}"
11843,"{مصر, بصرة}"
11912,"{بغداد, نيسابور, أرغيان}"
12002,"{بغداد, الحربية}"
12182,"{دمشق, نصيبين}"
12309,"{دمشق, جبيل, بغداد, الرقة}"
12384,"{دمشق, كوفة, مصر}"
12476,"{دمشق, أصبهان}"
13851,"{عسقلان, الرملة, دمشق, الكرج}"
19824,"{سر*من*رأى, بغداد, أيلة}"
20850,"{دمشق}"
21828,"{بغداد, مرو}"
23936,"{بغداد, الرقة}"
24427,"{دمشق, مصر, كوفة}"
24792,"{دمشق, هراة}"
26553,"{دمشق, مصر, كوفة}"
26705,"{بغداد}"
27514,"{سمر, بصرة}"
29060,"{محلة*المراوزة}"
29090,"{القنطرة}"
30889,"{دمشق}"
30939,"{قرطبة}"
31057,"{دمشق}"
32759,"{مصر}"
33051,"{طبرستان}"
33315,"{بغداد, بصرة}"
40712,"{بغداد}"
9,"{بصرة}"
130,"{كوفة}"
515,"{حمص, دمشق}"
788,"{بلخ, كوفة, حمص, دمشق}"
833,"{هراة, نيسابور, بغداد, مرو, مكة}"
870,"{المدينه}"
