2,"{{بغداد, 0.17345762204252768}, {كوفة, 0.1379230308475591}, {بصرة, 0.3020739742437856}, {عسقلان, 0.1730907457322552}, {مرو, 0.05799640610961364}, {الحجاز, 0.04950584007187779}, {مصر, 0.10595238095238094}}"
415,"{{نيسابور, 1.}}"
417,"{{نيسابور, 0.4506172839506173}, {ترمذ, 0.5493827160493827}}"
496,"{{مصر, 0.08283730158730158}, {بصرة, 0.16220238095238093}, {كوفة, 0.22172619047619047}, {بغداد, 0.16220238095238093}, {نيسابور, 0.20089285714285712}, {واسط, 0.05803571428571428}, {دمشق, 0.06200396825396825}, {حمص, 0.050099206349206345}}"
801,"{{بصرة, 1.}}"
904,"{{مصر, 0.33217741935483874}, {بصرة, 0.31282258064516116}, {مكة, 0.07008064516129034}, {الرملة, 0.05677419354838709}, {دمشق, 0.22814516129032256}}"
1321,"{{مصر, 0.5151515151515151}, {عسقلان, 0.48484848484848486}}"
2549,"{{مصر, 0.25816793893129764}, {حمص, 0.14022900763358767}, {دمشق, 0.18755725190839675}, {نسا, 0.29404580152671744}, {حلب, 0.11999999999999986}}"
2915,"{{مرو, 0.41927083333333326}, {بغداد, 0.4505208333333333}, {سمرقند, 0.13020833333333334}}"
3895,"{{مرو, 0.532608695652174}, {الري, 0.46739130434782605}}"
4165,"{{دمشق, 1.}}"
4864,"{{مصر, 1.}}"
4900,"{{بغداد, 0.4089099395936301}, {سمرقند, 0.2956479956068095}, {دارام, 0.2954420647995607}}"
5307,"{{عسقلان, 1.}}"
5766,"{{بغداد, 0.6193820224719101}, {القنطرة, 0.3806179775280899}}"
5911,"{{الأهواز, 0.9999999999999999}}"
6774,"{{بغداد, 1.}}"
6806,"{{الري, 1.}}"
6817,"{{مرو, 0.054847817557218605}, {مصر, 0.07244809764124378}, {بصرة, 0.3039758893120783}, {كوفة, 0.12381350726413062}, {بغداد, 0.06126140830110844}, {الحجاز, 0.013984725296206982}, {عسقلان, 0.011933832250515494}, {الري, 0.028286754000056237}, {المدينه, 0.079654386512032}, {بخارى, 0.039545687235582445}, {نيسابور, 0.024578141416281098}, {حمص, 0.04519571557741833}, {دمشق, 0.04631271734461515}, {واسط, 0.025680972265535885}, {مكة, 0.04024589729860135}, {بلخ, 0.016038635119947752}, {قيسارية, 0.01219581560742733}}"
6860,"{{مصر, 0.4665404040404041}, {عسقلان, 0.533459595959596}}"
6952,"{{عسقلان, 1.}}"
7011,"{{بغداد, 0.6631130063965884}, {بخارى, 0.3368869936034115}}"
7228,"{{بغداد, 0.4922360248447205}, {حمص, 0.5077639751552795}}"
7267,"{{اليمامة, 1.}}"
7273,"{{الري, 1.}}"
7327,"{{حران, 1.}}"
7741,"{{الرملة, 0.48561151079136694}, {نسا, 0.5143884892086331}}"
7817,"{{نصيبين, 1.}}"
8053,"{{بصرة, 1.}}"
8231,"{{المدينه, 1.}}"
8297,"{{مصر, 0.6493333333333332}, {دمشق, 0.18723809523809518}, {حمص, 0.16342857142857137}}"
8476,"{{مصر, 0.2458628841607565}, {دمشق, 0.7541371158392435}}"
