"الأندلس","{المرية, الوشقة, إشبيلية, أستجة, بجانة, برشانة:من*قرى*إشبيلية, بلنسية, تطيلة, جيان, شاطبة, شذونة, شريش, طرطوشة, طليطلة, غافق, غرناطة, قرطبة, لاردة, لبلة, لشبونة, مالقة, مرسية}"
"المغرب","{البجاية, الزيتونة, القسطنطينية, القيروان, باجة, بجاية, تاهرت, تلمسان, تونس, سبتة, سوسة, غزة, فاس, قفصة, نفطة, وهران}"
"اليمن","{جند, حراز, ذمار, زبيد, شبام, صعدة, صنعاء, عدن, مأرب, همدان}"
"بلاد*فارس","{البيضاء, الداركان, الرباط, إصطخر, أبرقوه, أبزار, بيضاء, جور, خوزستان, دارابجرد, داركان, درابجرد, شيراز, فسا, كازرون, كران, مشكان, نجيرم, يزد}"
"سجستان","{الرخج, بست, بكر*أباذ, جوين, خوش}"
"فارس","{البيضاء, الداركان, الرباط, إصطخر, أبرقوه, أبزار, بيضاء, جور, خوزستان, دارابجرد, داركان, درابجرد, شيراز, فسا, كازرون, كران, مشكان, نجيرم, يزد}"
"الديلم","{استراباذ, الخوز, الدامغان, الديلم, إستراباد, إستراباذ, أبسيكون, بذش, بسطام, جرجان, جيل, دامغان, ديلمان, رويان, سمنان, شالوس, طبرستان, قومس, ميلة}"
"العراق","{الأبلة, البردان, البندنيجين, الحيرة, الدور, الرصافة, السامرائي, الطيب, القادسية, الكرخ, المدائن, النعمانية, النهروان, النيل, أبلة, بردان, بصرة, بعقوبا, بغداد, تكريت, جرجرايا, حلوان, دقوقاء, دمما, دير*العاقول, سامراء, سيلحين, صرصر, عبادان, عبدان, عكبرا, عين*التمر, فم*الصلح, قطربل, كرخ, كلواذي, كوفة, ميسان, نهروان, هيت, واسط}"
"خراسان","{الأنبار, إسفرايين, أبيورد, أسداباذ, آمل, باشان, بشت, بغشور, بغلان, بلخ, بوشنج, بيهق, جرم, جوزجانان, حيراباذ, خسروجرد, خسروجردي, دهستان, رباط*فراوة, زم, زوزن, سرخس, سنج, طالقان, طريثيث, طوس, غزنة, فارياب, قاين, قهستان, كابل, كشميهن, مرو, مرو*الروذ, مرو*الروذ, مزينان, مهرجان, ميهنة, نيسابور, هراة}"
"ما*وراء*النهر","{الشاش, إسفيجاب, بخارى, بيكند, ترمذ, خوارزم, دبوسية, زندنة, سمرقند, طراز, فراب, فربر, فرغانة, كرمينة, كش, كيش, نسا, نسف}"
"شام","{الأردن, الخليل, الرملة, اللاذقية, المصيصة, المغرب*أطرابلس, أذرعات, أذنة, أطرابلس, أنطاكيا, أنطرطوس, أيلة, بالس, بانياس, بعلبك, بيت*المقدس, بيت*المقدس, بيروت, تدمر, تل*منس, جبلة, جبيل, حلب, حماة, حماه, حمص, داريا, دمشق, رها, شيزار, صور, صيدا, طبرية, طرابلس, طرسوس, عسقلان, عكا, فامية, قنسرين, قيسارية, كفرطاب, معرة*النعمان, مؤتة, ميماس, نابلس, يافا}"
